id,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_9,barriers_13,productivity_1
669,0,1,1,0,0,0,0,20
670,0,-1,-1,-2,1,0,0,-30
671,1,1,-1,0,0,-1,0,10
672,0,0,0,0,0,0,0,50
673,0,0,0,0,0,0,0,20
674,1,0,0,0,0,0,1,0
675,0,0,0,0,0,0,1,30
676,0,1,-1,0,0,0,0,-50
677,0,0,-1,-1,0,0,0,40
678,0,0,0,0,0,0,0,0
679,2,2,0,0,0,0,1,0
680,0,0,0,0,0,0,0,0
681,-1,0,-1,-2,-1,-1,0,-20
682,1,0,0,-1,0,0,0,-20
683,0,0,-1,0,0,0,0,0
684,0,0,0,0,-1,-1,0,20
685,0,0,0,0,0,0,0,0
686,0,0,0,0,0,0,0,0
687,0,-1,-1,0,-1,-1,0,20
688,2,2,1,1,1,2,0,50
689,0,0,-2,-1,0,0,0,30
690,2,0,2,0,-2,0,0,0
691,1,0,1,0,1,1,0,20
692,0,0,0,0,-1,0,0,0
693,0,-1,-1,-1,-1,-1,0,40
694,0,0,1,0,0,0,0,20
695,0,0,0,0,0,0,0,30
696,0,1,1,1,0,0,1,0
697,0,0,0,0,0,-1,0,-20
698,-1,0,0,0,0,1,1,-30
699,0,0,1,0,0,0,0,-10
700,-1,0,0,0,-1,0,0,-30
701,0,-1,-1,0,-1,1,2,0
702,0,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0,30
704,-1,-1,-1,-1,-1,-1,0,0
705,0,0,0,0,0,0,0,50
706,0,0,0,0,0,0,0,-50
707,0,0,0,0,0,0,0,-20
708,1,0,0,-1,0,0,-1,30
709,0,0,0,0,0,0,0,20
710,-1,-2,-2,-1,-2,0,0,-40
711,0,0,0,0,0,0,-1,50
712,0,0,0,0,0,0,0,40
713,0,1,0,0,0,0,1,20
714,0,0,0,0,0,0,0,20
715,0,0,0,0,0,0,0,0
716,-1,0,2,0,1,0,0,-10
